date,open,close,low,high,volume
2020-07-28,107.25,103.6,103.3,108.7,22422761.0
2020-07-29,102.8,102.55,102.1,103.8,9636665.0
2020-07-30,104.2,104.05,103.3,105.0,6587085.0
2020-07-31,103.9,103.8,103.45,104.3,5314021.0
2020-08-03,103.45,102.0,102.0,103.5,7258914.0
2020-08-04,102.55,103.3,102.55,103.35,4798147.0
2020-08-05,104.1,104.3,103.75,104.5,5106381.0
2020-08-06,105.45,105.4,104.85,105.95,7430095.0
2020-08-07,105.55,104.65,104.3,105.55,6803730.0
2020-08-10,104.1,105.6,104.1,105.85,5905752.0
2020-08-11,105.4,104.8,104.75,105.65,3199141.0
2020-08-12,104.0,103.25,103.0,104.0,5916723.0
2020-08-13,104.7,104.25,104.05,104.9,5461251.0
2020-08-14,103.8,104.5,103.5,104.5,3779950.0
2020-08-17,104.5,105.6,104.25,105.7,5641660.0
2020-08-18,105.7,105.0,104.65,105.9,3745611.0
2020-08-19,105.0,104.25,104.1,105.45,6043314.0
2020-08-20,103.8,100.6,98.7,103.8,18738215.0
2020-08-21,102.15,102.8,101.7,103.0,8132713.0
2020-08-24,102.85,103.1,102.3,103.55,3718559.0
2020-08-25,103.45,103.9,103.35,104.35,3609809.0
2020-08-26,104.0,104.3,103.6,104.35,2665520.0
2020-08-27,105.1,104.55,104.45,105.7,5706106.0
2020-08-28,103.85,103.5,103.0,104.25,3913299.0
2020-08-31,104.1,101.8,101.8,104.25,5759933.0
2020-09-01,102.45,103.35,101.85,103.35,5735637.0
2020-09-02,103.65,103.0,102.3,104.05,4133083.0
2020-09-03,103.7,103.3,103.2,104.3,5129198.0
2020-09-04,102.0,102.55,101.9,102.7,5916012.0
2020-09-07,102.55,102.4,101.9,103.05,5499657.0
2020-09-08,102.75,103.0,102.45,103.1,4504453.0
2020-09-09,101.75,102.3,101.15,102.35,6274033.0
2020-09-10,102.8,103.2,102.6,103.35,3581337.0
2020-09-11,103.2,103.25,102.8,103.35,2905291.0
2020-09-14,103.5,104.55,103.25,104.55,5753474.0
2020-09-15,104.45,104.95,104.25,105.2,5438768.0
2020-09-16,106.55,106.55,106.35,107.0,14855265.0
2020-09-17,106.05,105.4,105.1,106.35,8748846.0
2020-09-18,105.4,105.3,104.85,105.7,4951719.0
2020-09-21,105.2,104.45,104.35,105.9,5709735.0
2020-09-22,104.3,103.1,102.95,104.3,6636055.0
2020-09-23,103.5,102.95,102.4,103.5,9454100.0
2020-09-24,101.55,100.45,100.25,101.8,15784773.0
2020-09-25,100.75,100.65,100.05,101.45,9498930.0
2020-09-28,101.35,102.3,101.0,102.3,6026880.0
2020-09-29,102.75,102.55,102.15,103.25,3759262.0
2020-09-30,102.75,103.0,102.6,103.45,3545485.0
2020-10-05,103.45,103.05,103.0,104.05,5912599.0
2020-10-06,104.0,104.25,103.85,104.35,6875260.0
2020-10-07,104.0,104.8,103.5,105.0,4011139.0
